"airport","airport_name","countryCode","date","datetime","raw_metar","visibility","wind","precipitation","freezing","dangerous","VMC_IMC","latitude","longitude"
"SBAQ","ARARAQUARA/ARARAQUARA, SP","BRA","20-01-22","""2020-01-22T02:00:00.000Z""","SBAQ 220200Z /////KT CAVOK ///// Q1011 20-01-22",0,0,0,0,0,0,-21.804347222222223,-48.140233333333335
"PTPN","POHNPEI INTL,POHNPEI ISLAND","FSM","20-01-22","""2020-01-22T02:50:00.000Z""","PTPN 220250Z 05007KT 15SM SCT018TCU BKN130 OVC300 31/25 A2986 RMK TCU N LAST 20-01-22",0,0,0,0,1.7,0,6.985083333333334,158.20980555555553
"KWHP","WHITEMAN","USA","20-01-22","""2020-01-22T03:55:00.000Z""","KWHP 220355Z 21005KT 10SM BKN030 12/07 A3020 20-01-22",0,0,0,0,0,0,34.259325,-118.41343333333334
"PHJH","KAPALUA","USA","20-01-22","""2020-01-22T03:45:00.000Z""","PHJH 220345Z VRB04KT 15SM FEW055 24/17 A3007 RMK LAST 20-01-22",0,0,0,0,0,0,20.96293611111111,-156.67303055555556
"UHMD","PROVIDENIYA BAY","RUS","20-01-22","""2020-01-22T05:00:00.000Z""","UHMD 220500Z 35003MPS P1000 -SN OVC012 M13/M16 Q0999 RMK QBB380 MT OBSC QFE749/0999 20-01-22",0,0,6.7,7.5,0,1,64.37805555555555,-173.2433333333333
"FASB","SPRINGBOK","ZAF","20-01-22","""2020-01-22T05:44:00.000Z""","FASB 220544Z 25005KT 9999 SCT015 13/10 Q1015 20-01-22",0,0,0,0,0,0,-29.689444444444444,17.93888888888889
"RJNY","YAIZU/SHIZUHAMA","JPN","20-01-22","""2020-01-22T06:34:00.000Z""","RJNY 220634Z 25010KT 9999 FEW020 BKN035 BKN050 13/06 Q1025 RMK 1CU020 6CU035 5SC050 A3029 20-01-22",0,0,0,0,0,0,34.812777777777775,138.29805555555555
"LIPU","PADOVA","ITA","20-01-22","""2020-01-22T07:00:00.000Z""","LIPU 220700Z VRB01KT 7000 NSC M02/M02 Q1036 20-01-22",0,0,0,2.5,0,0,45.39611111111111,11.848055555555556
"RJAF","MATSUMOTO","JPN","20-01-22","""2020-01-22T07:00:00.000Z""","RJAF 220700Z 17018KT 9999 FEW040 SCT080 BKN120 09/M04 Q1022 20-01-22",0,2,0,0,0,0,36.166666666666664,137.92277777777778
"RJEB","MONBETSU","JPN","20-01-22","""2020-01-22T07:00:00.000Z""","RJEB 220700Z 25009KT 9999 SCT040 01/M07 Q1019 20-01-22",0,0,0,0,0,0,44.30416666666667,143.40416666666667
"RJTF","CHOFU","JPN","20-01-22","""2020-01-22T07:00:00.000Z""","RJTF 220700Z 36004KT 9999 SCT025 BKN040 07/M03 Q1026 20-01-22",0,0,0,0,0,0,35.67166666666667,139.52805555555557
"RJTI","TOKYO HELIPORT","JPN","20-01-22","""2020-01-22T07:00:00.000Z""","RJTI 220700Z 03006KT 300V080 9999 FEW020 SCT025 BKN160 07/M02 Q1026 20-01-22",0,0,0,0,0,0,35.6361111,139.8394444
"RJTO","OSHIMA","JPN","20-01-22","""2020-01-22T07:00:00.000Z""","RJTO 220700Z 05004KT 010V110 9999 FEW030 11/06 Q1025 20-01-22",0,0,0,0,0,0,34.78194444444444,139.36027777777778
"GQNI","NEMA","MRT","20-01-22","""2020-01-22T09:00:00.000Z""","GQNI 220900Z 04010KT 5000 BLDU NSC 27/01 Q1016 20-01-22",0,0,0,0,0,0,16.6219444,-7.3166667
"FACV","CALVINIA (MET)","ZAF","20-01-22","""2020-01-22T08:51:00.000Z""","FACV 220851Z 24006KT 9999 FEW035 23/12 Q1015 20-01-22",0,0,0,0,0,0,-31.50027777777778,19.72583333333333
